species,Cutoff
Enterobacteriaceae,0.82
Methylobacteriaceae,-0.02
Phyllobacteriaceae,-0.04
Microbacteriaceae,-0.01
Listeriaceae,-0.07
Comamonadaceae,-0.01
Burkholderiaceae,0
Hafniaceae,-0.02
Haloferacaceae,-0.05
Acetobacteraceae,-0.03
Rhizobiaceae,0
Erwiniaceae,-0.01
Yersiniaceae,-0.04
Micrococcaceae,-0.01
Morganellaceae,-0.02
Streptomycetaceae,-0.02
Paracoccaceae,-0.04
Aeromonadaceae,-0.01
Azospirillaceae,-0.02
Mycobacteriaceae,-0.09
Clostridiaceae,-0.04
Sphingomonadaceae,-0.02
Vibrionaceae,-0.02
Moraxellaceae,0
Roseobacteraceae,-0.07
Pseudomonadaceae,-0.05
Deinococcaceae,-0.01
Leptospiraceae,-0.05
Nocardiaceae,-0.04
Natrialbaceae,-0.03
Xanthomonadaceae,-0.03
Pasteurellaceae,-0.02
Bacillaceae,-0.06
Enterococcaceae,-0.04
Lactobacillaceae,-0.05
Staphylococcaceae,-0.39
Streptococcaceae,-0.31
Piscirickettsiaceae,-0.07
Nostocaceae,-0.02
Neisseriaceae,-0.03
Helicobacteraceae,-0.04
Haloarculaceae,-0.04
Campylobacteraceae,-0.04
Borreliaceae,-0.29
Bacteroidaceae,-0.04
