Bacteroidaceae,Bacteroides
Deinococcaceae,Deinococcus
Erwiniaceae,Pantoea
Hafniaceae,Edwardsiella
Lactobacillaceae,Lactobacillus
Lactobacillaceae,Leuconostoc
Leptospiraceae,Leptospira
Morganellaceae,Arsenophonus
Morganellaceae,Proteus
Morganellaceae,Providencia
Mycobacteriaceae,Mycobacterium
Nocardiaceae,Rhodococcus
Nostocaceae,Nostoc
Paracoccaceae,Paracoccus
Roseobacteraceae,Sulfitobacter
Sphingomonadaceae,Sphingobium
Streptococcaceae,Streptococcus
Streptomycetaceae,Streptomyces
