Aeromonadaceae,Aeromonas,Aeromonas_caviae
Bacillaceae,Bacillus,Bacillus_anthracis
Bacillaceae,Bacillus,Bacillus_cereus
Bacillaceae,Bacillus,Bacillus_subtilis
Bacillaceae,Bacillus,Bacillus_thuringiensis
Bacillaceae,Priestia,Priestia_megaterium
Borreliaceae,Borrelia,Borrelia_miyamotoi
Borreliaceae,Borreliella,Borreliella_burgdorferi
Burkholderiaceae,Burkholderia,Burkholderia_glumae
Burkholderiaceae,Ralstonia,Ralstonia_solanacearum
Campylobacteraceae,Campylobacter,Campylobacter_jejuni
Clostridiaceae,Clostridium,Clostridium_perfringens
Enterobacteriaceae,Citrobacter,Citrobacter_freundii
Enterobacteriaceae,Enterobacter,Enterobacter_cloacae
Enterobacteriaceae,Enterobacter,Enterobacter_hormaechei
Enterobacteriaceae,Enterobacter,Enterobacter_roggenkampii
Enterobacteriaceae,Escherichia,Escherichia_albertii
Enterobacteriaceae,Escherichia,Escherichia_coli
Enterobacteriaceae,Escherichia,Escherichia_fergusonii
Enterobacteriaceae,Klebsiella,Klebsiella_michiganensis
Enterobacteriaceae,Klebsiella,Klebsiella_oxytoca
Enterobacteriaceae,Klebsiella,Klebsiella_pneumoniae
Enterobacteriaceae,Klebsiella,Klebsiella_quasipneumoniae
Enterobacteriaceae,Klebsiella,Klebsiella_variicola
Enterobacteriaceae,Raoultella,Raoultella_ornithinolytica
Enterobacteriaceae,Salmonella,Salmonella_enterica
Enterobacteriaceae,Shigella,Shigella_flexneri
Enterobacteriaceae,Shigella,Shigella_sonnei
Enterococcaceae,Enterococcus,Enterococcus_faecalis
Enterococcaceae,Enterococcus,Enterococcus_faecium
Helicobacteraceae,Helicobacter,Helicobacter_pylori
Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus_paracasei
Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus_plantarum
Lactobacillaceae,Levilactobacillus,Levilactobacillus_brevis
Listeriaceae,Listeria,Listeria_monocytogenes
Moraxellaceae,Acinetobacter,Acinetobacter_baumannii
Moraxellaceae,Acinetobacter,Acinetobacter_lwoffii
Moraxellaceae,Acinetobacter,Acinetobacter_pittii
Moraxellaceae,Acinetobacter,Acinetobacter_seifertii
Moraxellaceae,Psychrobacter,Psychrobacter_sp.
Neisseriaceae,Neisseria,Neisseria_gonorrhoeae
Piscirickettsiaceae,Piscirickettsia,Piscirickettsia_salmonis
Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa
Rhizobiaceae,Agrobacterium,Agrobacterium_tumefaciens
Rhizobiaceae,Rhizobium,Rhizobium_leguminosarum
Rhizobiaceae,Sinorhizobium,Sinorhizobium_meliloti
Roseobacteraceae,Phaeobacter,Phaeobacter_inhibens
Roseobacteraceae,Pseudosulfitobacter,Pseudosulfitobacter_pseudonitzschiae
Staphylococcaceae,Staphylococcus,Staphylococcus_aureus
Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Streptococcaceae,Lactococcus,Lactococcus_cremoris
Streptococcaceae,Lactococcus,Lactococcus_lactis
Vibrionaceae,Vibrio,Vibrio_parahaemolyticus
Xanthomonadaceae,Xanthomonas,Xanthomonas_citri
Yersiniaceae,Serratia,Serratia_marcescens
Yersiniaceae,Yersinia,Yersinia_pestis
